Participant_ID,Gender,Self_attractiveness,Financial_att,Financial_unatt,Unfinance_att,Unfinance_unatt,Image_att,Image_unatt,Self_attractiveness_centred
10101,female,3,20,6,4,2,4,3,-0.527638191
10102,female,3,19,5,3,2,4,3,-0.527638191
10103,female,5,6,0,2,1,3,1,1.472361809
10104,female,3,0,0,1,1,3,2,-0.527638191
10105,male,2,16,13,3,3,4,3,-1.527638191
10107,female,5,11,10,4,4,4,2,1.472361809
10108,female,5,1,1,3,3,3,1,1.472361809
10109,female,2,10,10,2,2,2,1,-1.527638191
10110,female,4,0,0,2,2,2,2,0.472361809
10111,female,3,0,0,1,3,2,2,-0.527638191
10112,female,3,7,5,2,2,2,2,-0.527638191
10113,female,3,0,0,2,2,2,2,-0.527638191
10114,female,3,0,0,1,1,3,2,-0.527638191
10115,male,4,15,1,4,2,4,2,0.472361809
10116,male,3,4,1,4,3,4,2,-0.527638191
10117,female,4,0,0,1,1,1,1,0.472361809
10119,male,3,0,0,1,1,2,2,-0.527638191
10120,male,4,0,0,2,1,2,2,0.472361809
10121,male,3,0,0,4,4,2,2,-0.527638191
10122,female,4,0,0,3,2,3,2,0.472361809
12123,female,3,4,2,2,1,2,1,-0.527638191
10124,female,5,0,0,1,1,1,1,1.472361809
10127,female,5,0,0,1,1,1,1,1.472361809
1025,female,5,3,0,2,2,2,1,1.472361809
1026,female,3,0,0,2,1,3,1,-0.527638191
1027,female,4,0,0,2,2,3,2,0.472361809
1028,female,3,0,0,2,1,2,1,-0.527638191
10125,male,3,0,0,2,2,3,2,-0.527638191
10201,male,4,0,0,3,2,3,2,0.472361809
10202,male,4,0,0,2,2,2,1,0.472361809
10209,female,4,2,0,2,1,2,1,0.472361809
10210,female,4,1,1,2,2,2,1,0.472361809
10211,female,4,0,0,3,3,3,2,0.472361809
10212,female,3,19,13,3,3,3,2,-0.527638191
10213,female,5,0,0,1,1,3,2,1.472361809
10214,female,3,0,0,2,2,2,1,-0.527638191
10215,male,5,4,1,4,2,4,2,1.472361809
10216,female,4,0,0,3,3,1,1,0.472361809
10217,female,3,0,0,2,3,1,2,-0.527638191
10218,female,4,2,4,2,2,1,1,0.472361809
10301,male,5,9,4,4,3,4,2,1.472361809
10302,male,3,0,0,2,2,4,3,-0.527638191
10303,female,3,0,0,4,3,3,2,-0.527638191
10304,female,3,10,10,3,3,2,1,-0.527638191
10305,female,3,0,0,1,1,3,3,-0.527638191
10307,female,3,6,0,3,2,2,2,-0.527638191
10309,female,3,0,0,2,2,1,1,-0.527638191
10310,male,5,0,0,2,3,3,3,1.472361809
10312,male,4,28,17,4,4,4,3,0.472361809
10313,male,5,0,0,4,3,3,2,1.472361809
10314,male,4,5,3,3,2,4,2,0.472361809
10316,female,5,0,0,1,1,1,1,1.472361809
10318,female,4,0,0,2,2,3,2,0.472361809
10319,male,5,10,6,4,4,4,3,1.472361809
10401,female,4,0,0,2,1,2,2,0.472361809
10404,female,5,0,0,1,1,1,1,1.472361809
10405,female,2,0,0,2,2,3,2,-1.527638191
10406,female,2,10,10,4,4,3,3,-1.527638191
10407,female,2,0,0,2,2,3,3,-1.527638191
10408,male,4,0,0,3,3,2,1,0.472361809
10409,female,5,0,0,3,1,2,2,1.472361809
10410,female,3,0,0,4,3,3,3,-0.527638191
10411,male,3,0,0,4,4,4,4,-0.527638191
10412,female,3,0,0,2,2,5,5,-0.527638191
10413,female,3,10,10,3,3,2,2,-0.527638191
10414,female,3,0,0,3,2,4,3,-0.527638191
10415,female,4,2,5,2,2,3,1,0.472361809
10416,female,1,0,0,4,4,4,3,-2.527638191
10417,male,5,0,1,1,1,3,2,1.472361809
10418,female,2,10,10,1,1,3,1,-1.527638191
10419,female,4,1,0,2,1,3,2,0.472361809
10420,male,5,0,0,1,1,1,1,1.472361809
10421,female,4,0,0,1,1,2,2,0.472361809
10422,female,4,0,0,2,1,3,2,0.472361809
10423,female,2,0,0,1,1,2,2,-1.527638191
10203,female,4,0,0,2,2,2,2,0.472361809
105101,female,2,0,0,5,5,3,3,-1.527638191
105102,female,3,17,10,3,2,3,2,-0.527638191
105103,female,5,4,1,2,2,2,2,1.472361809
105107,female,5,4,1,3,2,2,1,1.472361809
105108,female,4,0,0,2,2,2,2,0.472361809
105109,female,5,0,0,2,2,3,1,1.472361809
105111,female,4,10,9,3,2,3,2,0.472361809
105114,female,3,20,20,2,2,1,1,-0.527638191
105116,female,2,10,10,2,2,2,2,-1.527638191
105120,female,5,4,4,3,3,3,1,1.472361809
105121,female,2,0,0,2,2,2,2,-1.527638191
105123,female,2,1,0,4,3,3,2,-1.527638191
105125,female,4,0,0,2,1,3,1,0.472361809
110505,female,4,0,0,2,2,3,3,0.472361809
110525,female,3,12,12,2,2,3,2,-0.527638191
110527,female,4,0,0,2,2,3,1,0.472361809
10605,female,3,0,0,2,2,2,1,-0.527638191
10606,female,2,0,0,2,2,4,3,-1.527638191
10607,female,3,1,0,3,3,3,2,-0.527638191
10608,male,3,4,8,2,2,3,2,-0.527638191
10609,female,3,0,0,3,3,2,1,-0.527638191
10612,female,5,1,1,1,1,1,1,1.472361809
10613,male,3,0,0,3,2,3,2,-0.527638191
10614,male,2,0,0,2,2,2,2,-1.527638191
10615,female,4,5,5,3,3,3,3,0.472361809
10616,female,3,20,20,4,4,3,2,-0.527638191
10618,female,4,20,20,4,4,4,3,0.472361809
10619,female,5,0,0,3,3,3,2,1.472361809
10620,male,5,0,0,1,1,3,3,1.472361809
10623,female,3,5,5,1,1,1,1,-0.527638191
10625,female,3,16,17,3,4,2,1,-0.527638191
10626,female,3,6,2,2,1,2,1,-0.527638191
10628,female,3,0,0,2,2,3,2,-0.527638191
10701,female,4,8,0,3,3,2,2,0.472361809
10702,female,4,0,0,1,1,4,3,0.472361809
10704,female,4,13,12,4,3,3,2,0.472361809
10705,female,4,0,0,1,1,3,2,0.472361809
10706,female,4,0,0,2,2,3,2,0.472361809
10707,female,4,1,2,2,3,3,2,0.472361809
10708,female,4,0,0,2,2,1,1,0.472361809
10709,female,4,0,0,4,4,3,2,0.472361809
10711,female,2,4,2,2,1,2,1,-1.527638191
10712,female,3,5,2,3,2,4,2,-0.527638191
10714,female,4,5,4,3,4,1,1,0.472361809
10716,female,3,14,12,3,3,3,2,-0.527638191
10718,female,3,0,0,1,1,1,1,-0.527638191
10719,female,4,0,0,2,2,2,2,0.472361809
10720,female,1,0,0,2,2,1,1,-2.527638191
10723,female,3,6,0,3,2,3,1,-0.527638191
10724,female,3,2,2,3,2,2,1,-0.527638191
2608,female,4,20,20,4,4,3,1,0.472361809
10801,female,3,0,0,2,2,2,2,-0.527638191
10802,female,4,0,0,1,1,3,2,0.472361809
10803,female,1,1,1,2,2,2,2,-2.527638191
10804,female,3,4,1,3,3,4,2,-0.527638191
10805,female,3,0,0,2,3,3,3,-0.527638191
10806,female,3,0,0,2,2,1,1,-0.527638191
10808,female,3,0,0,2,2,2,2,-0.527638191
10809,male,4,0,0,2,2,3,3,0.472361809
10810,female,3,0,0,2,2,3,2,-0.527638191
10812,female,3,0,0,2,2,3,2,-0.527638191
10814,female,3,0,0,3,2,2,2,-0.527638191
10815,male,3,0,0,2,2,3,3,-0.527638191
10817,female,4,1,1,1,1,1,1,0.472361809
10818,male,3,0,0,1,1,4,2,-0.527638191
10819,female,5,0,0,4,4,1,1,1.472361809
10822,female,4,0,0,3,3,1,1,0.472361809
10823,female,3,0,0,2,2,2,2,-0.527638191
10905,female,4,10,10,3,3,4,3,0.472361809
10902,female,4,0,0,1,1,4,1,0.472361809
10903,female,3,5,4,3,3,2,2,-0.527638191
10904,female,3,5,5,3,3,2,1,-0.527638191
10911,female,4,2,1,1,1,3,1,0.472361809
10918,female,4,6,8,2,3,3,2,0.472361809
10920,female,5,24,26,3,4,4,4,1.472361809
10921,female,2,0,0,2,2,4,3,-1.527638191
10924,male,5,50,50,1,1,3,2,1.472361809
11012,male,2,6,4,2,2,3,1,-1.527638191
1107,female,2,25,25,5,5,2,2,-1.527638191
11001,female,3,0,0,1,1,1,1,-0.527638191
11002,female,3,0,0,2,2,3,2,-0.527638191
11003,female,3,3,0,2,1,2,1,-0.527638191
11004,female,3,0,0,3,2,3,2,-0.527638191
11005,female,3,11,9,3,2,3,2,-0.527638191
11006,female,3,5,5,2,2,2,2,-0.527638191
11008,female,4,0,0,1,1,2,2,0.472361809
11013,male,4,10,10,2,2,1,1,0.472361809
11014,male,3,5,5,2,2,4,2,-0.527638191
111247,female,5,0,0,2,1,1,1,1.472361809
111248,female,4,0,0,3,2,3,1,0.472361809
111249,female,4,0,0,1,1,1,1,0.472361809
111253,female,4,2,0,2,1,3,2,0.472361809
111254,female,4,0,0,2,2,3,2,0.472361809
111256,female,5,1,0,2,2,1,1,1.472361809
111259,female,5,0,0,2,2,1,1,1.472361809
111260,female,4,0,0,1,1,1,1,0.472361809
111264,female,2,2,2,2,1,3,1,-1.527638191
111266,female,5,0,0,2,1,2,1,1.472361809
111267,female,4,1,0,3,2,3,2,0.472361809
111999,female,4,0,0,1,1,4,3,0.472361809
7111009,female,3,0,0,1,1,3,2,-0.527638191
11205,male,3,2,1,3,3,4,2,-0.527638191
11207,male,4,4,3,2,2,3,3,0.472361809
11209,male,2,0,0,3,3,3,2,-1.527638191
11211,female,2,25,25,1,1,3,2,-1.527638191
12110,female,5,0,0,1,1,2,1,1.472361809
112101,female,4,0,0,1,1,3,2,0.472361809
112102,female,3,0,0,2,2,4,3,-0.527638191
112103,male,4,1,0,2,2,3,2,0.472361809
112104,female,3,10,10,3,3,3,2,-0.527638191
112105,female,2,7,1,4,3,4,2,-1.527638191
112109,male,3,0,0,2,2,3,2,-0.527638191
112118,male,4,5,5,3,3,3,2,0.472361809
112119,female,4,10,10,4,4,1,1,0.472361809
112666,female,4,5,5,4,4,2,2,0.472361809
11312,female,3,4,2,2,2,3,1,-0.527638191
13108,male,4,4,3,3,3,3,3,0.472361809
113102,female,4,0,0,1,1,2,1,0.472361809
113106,male,4,2,1,2,2,4,2,0.472361809
113108,male,4,0,0,1,1,2,1,0.472361809
113112,male,2,10,10,4,4,3,3,-1.527638191
113114,male,3,20,18,3,3,4,2,-0.527638191
113115,male,4,0,0,1,1,2,2,0.472361809